symbol,sector,daily,weekly,monthly
AAPL,Technology,-1.039576584415114,2.0910505334809315,4.195019666398725
MSFT,Technology,-1.974009920263975,-0.8659976200853237,-8.273765154822765
GOOGL,Technology,0.3464774625832501,-2.0747359940859966,-8.744080673308064
AMZN,Technology,-0.6589049294211335,-1.6943494113808355,-13.685749929939018
META,Technology,-1.7153497456256939,-1.512976743506278,-9.875786429256806
NVDA,Technology,-1.427875708996429,-3.9879923254290794,-4.64605486106543
AMD,Technology,-1.2617793390834464,0.4796436388420311,-15.046675858594538
INTC,Technology,1.7927902723707367,4.908186092881772,-0.41962489714191253
CRM,Technology,-4.058759839191783,3.3560105502871584,-9.852560661217568
ORCL,Technology,-3.4129498810035686,-1.958407022834907,-11.787585939625888
ADBE,Technology,-1.181289652734152,-1.0169714137093888,-12.709293869551896
QCOM,Technology,-2.3044136355032663,-0.45143074637347125,-6.171248732460544
MU,Technology,0.2747360482100669,-2.6784507074879116,0.4390873914326576
AVGO,Technology,-1.0906168079468315,-4.346459148966431,-3.9566829077053667
NOW,Technology,-3.476672411398163,1.1796330646716147,-9.836767734462393
SNOW,Technology,-1.7595043406344435,-1.440580063971919,-11.772183662611457
TSLA,Automotive,-0.8541755223142156,-1.634211759175097,-5.882764598588663
F,Automotive,0.034698920845688264,2.8907903380064104,4.979241642258114
GM,Automotive,-2.073157384142321,-2.93817326409751,-5.815360659644719
JPM,Financials,-2.6655354038990886,-4.124974089173694,-2.5891703058162685
BAC,Financials,-3.830401037014164,-5.207881224737787,-5.457333077777305
GS,Financials,-4.118946679056778,-3.416139531620821,-4.775979418178167
MS,Financials,-3.6368255289187523,-2.4941564954456763,-6.435995182296194
WFC,Financials,-3.765932659412352,-6.369779132891329,-7.7708256002844145
BRK-B,Financials,-0.04366939216371435,0.8531690439790074,4.561734286032015
V,Financials,-0.830440410937916,-2.1436375202174784,-2.2099628630610213
MA,Financials,-0.6109562351968134,-2.8086422938024214,-5.041849168539125
AXP,Financials,-5.937612795904101,-8.888436554590218,-10.438143045693526
JNJ,Healthcare,0.3224231561069324,1.2633455570541852,8.054345594841084
PFE,Healthcare,0.627306545759998,2.3264572161655783,3.1391827040128994
MRK,Healthcare,1.7602669072942279,-0.7034194301692276,10.093411827007914
ABBV,Healthcare,1.0036071290713267,0.9496952043107187,1.7645006566116894
UNH,Healthcare,-0.06278960213557117,-1.213789315059266,-0.15682629942475046
CVS,Healthcare,0.692220100935681,2.425349525543008,5.407953019636058
LLY,Healthcare,0.9843189302741306,2.234719083026482,-0.322759159913677
AMGN,Healthcare,1.3088938473686529,2.5470349373540646,13.185281232986924
XOM,Energy,0.7977735767768168,1.6601081915288862,6.593346189510707
CVX,Energy,0.03800611644106944,0.16310719496772652,5.162352048038987
COP,Energy,0.849144053586337,1.0042528025065556,7.9428067281689385
SLB,Energy,-0.524374536729888,0.727635708328167,6.494515939498302
OXY,Energy,1.2832973818701188,0.48225308500027264,14.760962443342617
WMT,Consumer Staples,1.9771733810286074,3.1628583276806177,6.496556910711226
KO,Consumer Staples,0.6832336046680876,1.5155395407914662,8.341138479889242
PEP,Consumer Staples,0.5072149632648237,2.115914988915324,9.633526864923315
PG,Consumer Staples,0.8549581047232913,2.717996734896233,8.815964451054104
PM,Consumer Staples,0.7013346354166616,2.9525674619041986,5.2245875348008175
COST,Consumer Staples,0.4798615033771769,0.6297721367427345,5.44801654729461
MCD,Consumer Discretionary,1.279406568892072,2.9098157071298925,7.5587293836805625
NKE,Consumer Discretionary,-2.95543294308096,-5.10703375330388,0.40446528789113145
SBUX,Consumer Discretionary,0.0917580915686056,0.6975077649770789,7.453065154496774
HD,Consumer Discretionary,-0.5038748431874573,-2.367557303588952,-0.37106813968560415
DIS,Consumer Discretionary,-0.7674137039968443,-0.7956089720753234,-7.145394476886658
BA,Industrials,-1.2183418875935215,-2.3337470648713277,-3.039960504205963
CAT,Industrials,-1.6734591141945865,-2.5548178842795144,12.621704026281444
GE,Industrials,0.3550027778660647,-0.3408931366392087,11.493196735865642
HON,Industrials,0.3155075105572447,-0.9550362009249191,6.206045557329731
UPS,Industrials,-0.9602976451709377,-1.0451479359360971,10.262521646303234
RTX,Industrials,0.9031970648276433,-2.6864166172175796,-0.4243572125411377
T,Communication Services,1.0014622543611296,-0.8756216436491937,5.818395952491073
VZ,Communication Services,1.6821418483765171,0.9388802620360126,11.663068324123472
NFLX,Communication Services,8.026954970425827,16.156094292995515,9.450233071657909
SPOT,Communication Services,1.5252693738906142,2.5703190368289164,0.571596945473174
NEE,Utilities,-0.39134755811680577,-0.5966620198925465,4.243453541284525
DUK,Utilities,0.6190536858365903,2.56349584421256,8.06547908905717
AMT,Real Estate,1.3215541845380763,0.07741405923384903,4.5599080251119695
PLD,Real Estate,0.3609977403815412,1.1766013776796758,9.662228652771375
SPY,ETF,-0.6412277656218102,-0.6599637151423532,-1.0246059974406418
QQQ,ETF,-0.43989112972545596,-0.36957343161623246,-2.4619289688849966
IWM,ETF,-1.736905630590324,-1.2244398978633941,0.6624306801982227
DIA,ETF,-1.2953104583668051,-1.538053251846494,0.005404674199671611
VTI,ETF,-0.743046448312723,-0.6788719643744279,-0.7663669181108834
XLF,ETF,-1.933332170758928,-1.9146523832700102,-3.6583047653379386
XLK,ETF,-1.1133906294518603,-1.0221482052077402,-3.085906512876857
XLE,ETF,0.1725726103900982,0.4828705985620019,8.02155001352145
XLV,ETF,0.39384774768076447,0.7779530065904039,2.132601574138193
EEM,ETF,-0.3906855931455899,0.20051331359325353,5.693742411753666
